Team,Last_Form_Pts,Last_Goals_Scored_Avg,Last_Goals_Conceded_Avg,Last_Over25_Rate,Last_BTTS_Rate
St Truiden,7.0,2.2,1.8,0.8,0.4
St. Gilloise,13.0,2.8,0.4,0.8,0.2
St. Louis City,11.0,2.8,1.8,1.0,1.0
Standard,10.0,2.0,1.6,0.6,0.6
Stenhousemuir,13.0,1.8,0.4,0.2,0.4
Stevenage,8.0,2.0,1.2,0.8,0.8
Stockport,6.0,2.6,1.8,0.8,0.6
Stoke,10.0,1.8,1.2,0.6,0.6
Strasbourg,10.0,2.8,2.4,0.8,0.8
Stuttgart,7.0,2.2,2.2,1.0,1.0
Sudtirol,9.0,1.2,0.6,0.0,0.6
Sunderland,7.0,1.0,1.2,0.4,0.6
Swansea,10.0,1.8,0.8,0.6,0.4
Swindon,9.0,1.6,2.0,1.0,0.6
São Bernardo,7.0,1.4,1.0,0.4,0.6
São Paulo,7.0,1.0,1.0,0.2,0.4
Talleres (Córdoba),5.0,1.0,1.4,0.6,0.6
Telstar,2.0,0.6,2.0,0.6,0.4
Tenerife,10.0,1.4,0.6,0.2,0.4
Tigre,5.0,0.6,0.8,0.4,0.4
Tigres UANL,6.0,0.8,0.6,0.2,0.4
Tijuana,6.0,1.5,1.75,0.5,0.5
Toluca,13.0,2.8,0.8,0.8,0.6
Tondela,7.0,1.2,1.4,0.4,0.4
Torino,4.0,1.2,1.8,0.8,0.8
Toronto FC,8.0,1.8,2.0,0.8,0.8
Tottenham,5.0,0.2,1.0,0.2,0.0
Toulouse,3.0,0.8,1.4,0.4,0.4
Trabzonspor,7.0,1.8,1.0,0.6,0.6
Tranmere,6.0,1.4,1.4,0.4,0.6
Troyes,4.0,0.8,2.0,0.4,0.4
Twente,13.0,2.4,0.8,0.6,0.6
Técnico Universitario,6.0,1.4,1.6,0.6,0.6
Udinese,4.0,1.6,2.2,0.6,0.8
Union Berlin,7.0,2.2,2.2,1.0,0.6
Universidad Católica,12.0,2.0,1.4,0.8,0.8
Universidad Católica (Quito),11.0,2.2,1.0,0.6,0.8
Universidad de Chile,9.0,2.4,1.4,1.0,0.8
Universidad de Concepción,3.0,0.8,1.8,0.6,0.6
Unión (Santa Fe),9.0,2.2,1.4,0.8,0.8
Unión La Calera,4.0,0.6,1.0,0.4,0.4
Utrecht,5.0,2.0,3.4,1.0,1.0
VVV Venlo,1.0,0.6,2.5,0.6,
Valencia,1.0,0.2,2.0,0.4,0.2
Valladolid,4.0,0.4,1.4,0.2,0.2
Vallecano,4.0,1.6,2.8,0.8,1.0
Vancouver Whitecaps,9.0,2.6,1.0,1.0,0.4
Vasco da Gama,6.0,1.2,2.0,0.8,0.6
Venezia,3.0,1.2,2.2,0.4,0.4
Verona,4.0,1.6,1.6,0.6,0.6
Vicenza,5.0,1.5,2.0,0.75,0.75
Vila Nova,8.0,1.0,1.2,0.2,0.2
Villarreal,2.0,1.4,2.0,0.8,0.8
Virtus Entella,7.0,1.8,1.4,0.8,0.8
Vitesse,7.0,1.1,2.5,0.7,
Vitória,7.0,1.0,1.2,0.4,0.4
Volendam,4.0,1.0,1.4,0.4,0.6
Volos NFC,2.0,0.8,2.0,0.4,0.8
Vélez Sarsfield,7.0,1.2,1.0,0.2,0.8
Waalwijk,5.0,1.8,1.5,0.6,
Walsall,7.0,1.0,0.8,0.4,0.4
Waregem,8.0,1.6,0.6,0.4,0.2
Waterford,6.0,1.75,1.53,0.56,
Watford,4.0,0.8,1.4,0.4,0.6
Werder Bremen,4.0,1.0,1.8,0.4,0.6
West Brom,8.0,1.0,1.0,0.2,0.6
West Ham,13.0,3.4,1.0,0.8,0.6
Westerlo,7.0,2.4,2.2,1.0,0.6
Wigan,4.0,0.6,1.6,0.4,0.2
Willem II,2.0,1.0,2.8,0.8,0.8
Wolfsburg,8.0,2.0,1.4,0.4,0.4
Wolves,10.0,2.4,1.6,0.8,0.8
Wrexham,5.0,1.0,1.8,0.6,0.4
Wycombe,5.0,1.8,2.6,0.8,1.0
York,8.0,2.0,1.2,0.6,0.8
Zaragoza,1.0,0.4,1.8,0.2,0.4
Zwolle,4.0,1.2,3.0,0.8,0.6
Águilas Doradas,4.0,1.2,1.6,0.4,0.8
Ñublense,3.0,0.8,1.8,0.6,0.6
